location,total_sqft,bath,price,bhk,property_type,amenities_score
Yelahanka,1653.0,3.0,12000000.0,3,Apartment,6
Bisuvanahalli,1075.0,2.0,5200000.0,3,Apartment,6
7th Phase JP Nagar,1212.0,3.0,4200000.0,2,Apartment,5
other,1100.0,2.0,5000000.0,2,Apartment,5
other,1200.0,4.0,14500000.0,3,Apartment,6
Billekahalli,1140.0,2.0,5000000.0,2,Apartment,6
other,1200.0,2.0,10000000.0,2,Apartment,9
Kudlu Gate,1532.0,3.0,8300000.0,3,Apartment,5
Doddaballapur,2776.0,4.0,19500000.0,3,Apartment,6
Padmanabhanagar,1531.0,2.0,7500000.0,3,Apartment,5
Poorna Pragna Layout,1270.0,2.0,5079000.0,3,Apartment,8
Uttarahalli,1325.0,2.0,5300000.0,2,Apartment,9
other,1200.0,3.0,16000000.0,3,Apartment,9
Electronic City,1156.0,2.0,4400000.0,3,Apartment,9
R.T. Nagar,2000.0,4.0,32000000.0,4,Apartment,9
Bannerghatta Road,1260.0,2.0,7000000.0,2,Apartment,8
Vittasandra,1934.0,2.0,9000000.0,2,Apartment,6
Malleshpalya,1060.0,2.0,4000000.0,2,Apartment,5
Kasavanhalli,1476.0,3.0,9500000.0,3,Apartment,8
Murugeshpalya,1185.0,2.0,8500000.0,2,Apartment,9
other,1265.0,2.0,8200000.0,3,Apartment,8
other,3200.0,5.0,15000000.0,4,Villa,8
other,1196.0,2.0,5681000.0,2,Apartment,7
EPIP Zone,1280.0,2.0,6900000.0,2,Apartment,6
Hulimavu,1175.0,2.0,4500000.0,2,Apartment,7
other,1850.0,3.0,9800000.0,3,Apartment,5
Indira Nagar,2400.0,4.0,52500000.0,4,Villa,7
Whitefield,1195.0,2.0,7000000.0,2,Apartment,5
Ulsoor,2000.0,3.0,18500000.0,3,Apartment,7
Hosur Road,1180.0,2.0,3650000.0,2,Apartment,5
Jakkur,1050.0,2.0,4987000.0,2,Apartment,5
Electronic City,1400.0,2.0,4044000.0,3,Apartment,6
other,2360.0,4.0,15000000.0,4,Villa,7
other,1030.0,2.0,7725000.0,2,Apartment,5
other,1512.0,1.0,6501000.000000001,2,Apartment,6
Subramanyapura,929.0,2.0,4800000.0,2,Apartment,9
Jigani,1252.0,3.0,6100000.0,3,Apartment,9
Green Glen Layout,1485.0,3.0,11500000.0,3,Apartment,8
Electronics City Phase 1,1124.0,2.0,5500000.0,3,Apartment,5
TC Palaya,2400.0,6.0,37000000.0,6,Villa,9
Indira Nagar,1407.0,3.0,12000000.0,3,Apartment,6
Hennur Road,1482.0,2.0,9700000.0,3,Apartment,9
Sector 7 HSR Layout,1163.0,2.0,9886000.0,2,Apartment,6
Jalahalli,1570.0,3.0,14000000.0,3,Apartment,7
Whitefield,3480.0,4.0,28400000.0,3,Apartment,7
Chandapura,520.0,1.0,1404000.0,1,Apartment,9
other,2000.0,3.0,16000000.0,3,Apartment,9
Prithvi Layout,1352.0,2.0,7500000.0,2,Apartment,5
Electronic City,1152.0,2.0,6500000.0,2,Apartment,9
other,1575.0,3.0,9300000.0,3,Apartment,7
Hegde Nagar,1965.0,4.0,12500000.0,3,Apartment,6
other,1300.0,2.0,7000000.0,3,Apartment,8
Marathahalli,957.0,2.0,4700000.0,2,Apartment,8
Hoskote,1740.0,3.0,6000000.0,3,Apartment,9
Neeladri Nagar,1060.0,2.0,3500000.0,2,Apartment,8
other,975.0,2.0,5000000.0,2,Apartment,6
Ramamurthy Nagar,1150.0,2.0,5100000.0,2,Apartment,9
Whitefield,1738.0,2.0,7900000.0,3,Apartment,5
Bommanahalli,1250.0,3.0,5500000.0,3,Apartment,8
Bannerghatta Road,1788.0,3.0,9000000.0,3,Apartment,7
Kanakapura,1151.0,2.0,5900000.0,2,Apartment,8
Uttarahalli,1300.0,2.0,6000000.0,3,Apartment,6
Garudachar Palya,1150.0,2.0,5280000.0,2,Apartment,5
other,1380.0,2.0,7500000.0,2,Apartment,9
Hebbal,1645.0,3.0,11700000.0,3,Apartment,8
Babusapalaya,1141.0,2.0,4590000.0,2,Apartment,5
7th Phase JP Nagar,1175.0,2.0,8250000.0,2,Apartment,6
Banashankari Stage V,1355.0,2.0,6100000.0,3,Apartment,5
Dasarahalli,1150.0,2.0,7000000.0,2,Apartment,6
other,5800.0,5.0,8000000.0,5,Villa,7
other,1000.0,2.0,4500000.0,2,Apartment,5
Balagere,1007.0,2.0,6500000.0,2,Apartment,9
other,3000.0,5.0,10000000.0,4,Villa,9
Kothanur,1436.0,3.0,7000000.0,3,Apartment,9
Marathahalli,4000.0,4.0,22000000.0,4,Villa,9
Somasundara Palya,2372.0,3.0,14000000.0,3,Apartment,7
Rajaji Nagar,1200.0,2.0,15000000.0,2,Apartment,7
Rayasandra,1016.0,2.0,5800000.0,2,Apartment,8
Dodda Nekkundi,1100.0,2.0,4800000.0,2,Apartment,7
other,1080.0,2.0,4500000.0,2,Apartment,7
Electronic City,1070.0,2.0,6000000.0,2,Apartment,9
Kadubeesanahalli,1532.0,3.0,11500000.0,3,Apartment,7
Hennur,1040.0,2.0,4212000.0,2,Apartment,9
other,3100.0,3.0,25000000.0,3,Apartment,7
Tumkur Road,1137.5,2.0,4890500.0,2,Apartment,9
Thanisandra,1430.0,2.0,5160000.0,3,Apartment,8
Rajaji Nagar,1160.0,1.0,16300000.0,2,Apartment,6
ITPL,3262.0,5.0,20500000.0,4,Villa,7
other,2100.0,7.0,41000000.0,7,Apartment,7
other,1190.0,2.0,10000000.0,2,Apartment,5
other,1827.0,3.0,10000000.0,3,Apartment,5
HRBR Layout,1210.0,2.0,7500000.0,2,Apartment,7
other,1500.0,3.0,9500000.0,3,Apartment,8
Rachenahalli,1050.0,2.0,5350000.0,2,Apartment,8
Hebbal,1251.0,2.0,8873000.0,2,Apartment,5
HSR Layout,1600.0,2.0,11500000.0,3,Apartment,9
Electronic City,1128.0,2.0,6550000.0,2,Apartment,5
Budigere,1820.0,3.0,9300000.0,3,Apartment,8
Thigalarapalya,2072.0,4.0,15900000.0,3,Apartment,5
Raja Rajeshwari Nagar,1510.0,2.0,5900000.0,3,Apartment,8
Hoodi,1925.0,2.0,11400000.0,3,Apartment,8
Hennur Road,2651.0,2.0,22500000.0,3,Apartment,6
Thigalarapalya,2072.0,4.0,14700000.0,3,Apartment,8
Kumaraswami Layout,1000.0,2.0,3600000.0,2,Apartment,5
KR Puram,1752.0,3.0,14500000.0,3,Apartment,9
Sahakara Nagar,960.0,2.0,5600000.0,2,Apartment,8
other,1180.0,2.0,6300000.0,2,Apartment,9
Benson Town,2270.0,3.0,18000000.0,3,Apartment,9
NRI Layout,650.0,2.0,5900000.0,2,Apartment,9
Lakshminarayana Pura,1200.0,2.0,7500000.0,2,Apartment,9
Bisuvanahalli,1180.0,2.0,4600000.0,3,Apartment,9
other,1300.0,3.0,4700000.0,3,Apartment,8
Bannerghatta Road,1157.0,2.0,4000000.0,2,Apartment,7
Kanakpura Road,1300.0,3.0,6900000.0,3,Apartment,9
Banashankari Stage III,1305.0,2.0,5900000.0,3,Apartment,7
Hegde Nagar,2006.0,4.0,19600000.0,3,Apartment,6
Jakkur,1290.0,2.0,8000000.0,2,Apartment,6
Hoskote,1170.0,2.0,4500000.0,2,Apartment,8
Yelachenahalli,1400.0,2.0,7800000.0,2,Apartment,8
Lakshminarayana Pura,1200.0,2.0,7500000.0,2,Apartment,5
other,1155.0,2.0,6000000.0,3,Apartment,6
Hormavu,1725.0,3.0,8500000.0,3,Apartment,5
Kanakpura Road,700.0,2.0,4000000.0,2,Apartment,8
other,7000.0,5.0,205000000.0,4,Villa,7
Hoodi,1112.0,2.0,8800000.0,2,Apartment,9
Somasundara Palya,1178.0,2.0,7800000.0,2,Apartment,7
Badavala Nagar,1274.0,2.0,8100000.0,2,Apartment,8
Doddathoguru,915.0,2.0,3200000.0,2,Apartment,6
Hosur Road,760.0,1.0,2128000.0,1,Apartment,8
other,1540.0,3.0,6800000.0,3,Apartment,8
other,1206.0,2.0,3850000.0,2,Apartment,5
other,1645.0,3.0,9500000.0,3,Apartment,6
other,1200.0,4.0,17000000.0,4,Apartment,6
other,1200.0,4.0,14000000.0,4,Apartment,8
Nehru Nagar,2342.0,3.0,11500000.0,4,Villa,7
other,1200.0,2.0,5500000.0,3,Apartment,5
Yelenahalli,1056.0,2.0,3300000.0,2,Apartment,6
Raja Rajeshwari Nagar,4800.0,8.0,22500000.0,8,Villa,7
Kanakpura Road,1450.0,3.0,5430000.0,3,Apartment,5
other,1161.0,2.0,3669000.0,2,Apartment,7
other,1097.0,2.0,6500000.0,2,Apartment,9
Uttarahalli,850.0,2.0,3500000.0,2,Apartment,6
Green Glen Layout,1715.0,3.0,11500000.0,3,Apartment,6
Basavangudi,2300.0,3.0,31700000.0,3,Apartment,6
Electronic City,1200.0,2.0,5900000.0,2,Apartment,6
8th Phase JP Nagar,1080.0,2.0,3800000.0,2,Apartment,5
Kasavanhalli,1200.0,2.0,5030000.0,2,Apartment,6
other,2400.0,4.0,55000000.0,4,Villa,9
Banashankari,1400.0,2.0,7800000.0,3,Apartment,5
Whitefield,1500.0,4.0,20000000.0,4,Apartment,5
Kanakpura Road,458.0,1.0,1969500.0,1,Apartment,8
Marathahalli,1230.0,2.0,5700000.0,2,Apartment,7
Kalyan nagar,1640.0,3.0,8800000.0,3,Apartment,9
Banashankari,1700.0,3.0,12500000.0,3,Apartment,6
Bommasandra,1478.0,2.0,4400000.0,3,Apartment,8
other,6600.0,4.0,98600000.0,4,Villa,9
Banashankari,1020.0,2.0,4079000.0,2,Apartment,7
Nagarbhavi,1200.0,2.0,15000000.0,2,Apartment,6
Yelahanka,1275.0,2.0,9500000.0,3,Apartment,5
other,1600.0,3.0,16500000.0,4,Apartment,5
Kanakapura,1110.0,2.0,3885000.0,2,Apartment,7
Uttarahalli,1627.86,3.0,8800000.0,3,Apartment,5
other,620.0,2.0,2200000.0,2,Apartment,6
Whitefield,3004.0,4.0,28500000.0,4,Villa,8
Hosa Road,1133.0,2.0,5200000.0,2,Apartment,7
Hennur Road,1182.0,2.0,8250000.0,2,Apartment,7
Tumkur Road,1500.0,3.0,10000000.0,3,Apartment,8
Hebbal Kempapura,3900.0,5.0,36000000.0,4,Villa,9
Marathahalli,1200.0,2.0,5800000.0,2,Apartment,8
Raja Rajeshwari Nagar,1128.0,2.0,4879000.0,2,Apartment,5
other,900.0,2.0,11000000.0,2,Apartment,7
Amruthahalli,1100.0,2.0,4500000.0,2,Apartment,8
Kengeri Satellite Town,635.0,1.0,2200000.0,2,Apartment,8
Ardendale,2062.0,3.0,14000000.0,4,Apartment,6
Thanisandra,1874.0,4.0,13000000.0,3,Apartment,8
Old Madras Road,1171.0,2.0,7500000.0,2,Apartment,5
Sarjapur,2020.0,3.0,8500000.0,3,Apartment,8
8th Phase JP Nagar,1059.0,2.0,3450000.0,2,Apartment,7
Panathur,1315.0,2.0,5910000.0,3,Apartment,7
Jakkur,1760.0,3.0,11000000.0,3,Apartment,7
other,1200.0,2.0,12500000.0,2,Apartment,8
Hennur Road,1192.0,2.0,6200000.0,3,Apartment,9
Hebbal,1645.0,3.0,12100000.0,3,Apartment,9
Whitefield,1250.0,2.0,7200000.0,2,Apartment,8
Whitefield,709.0,1.0,3438500.0,1,Apartment,6
Whitefield,1340.0,2.0,7700000.0,2,Apartment,9
Cooke Town,2388.0,4.0,23900000.0,3,Apartment,5
Hosa Road,1369.1,2.0,10400000.0,2,Apartment,9
other,1355.0,2.0,7500000.0,2,Apartment,9
Bannerghatta Road,1150.0,2.0,6500000.0,2,Apartment,9
Kanakapura,1938.0,3.0,11300000.0,3,Apartment,6
Begur Road,2462.0,4.0,12400000.0,4,Villa,9
Budigere,1636.0,3.0,8500000.0,3,Apartment,5
Akshaya Nagar,1430.0,2.0,7500000.0,3,Apartment,8
other,2000.0,3.0,8500000.0,3,Apartment,9
Electronic City Phase II,993.0,2.0,5000000.0,3,Apartment,5
Laggere,1260.0,4.0,15000000.0,4,Apartment,9
Kanakpura Road,1700.0,3.0,8800000.0,3,Apartment,7
Yelahanka,1270.0,2.0,7800000.0,2,Apartment,6
Anjanapura,1500.0,3.0,12100000.0,3,Apartment,5
Koramangala,2300.0,3.0,29000000.0,3,Apartment,5
other,7500.0,4.0,90000000.0,4,Villa,9
Marathahalli,1650.0,3.0,8645000.0,3,Apartment,8
Panathur,1109.0,2.0,6300000.0,2,Apartment,9
other,1280.0,2.0,4975000.0,2,Apartment,5
Sarjapur,2885.0,3.0,18500000.0,4,Villa,9
Devanahalli,1600.0,3.0,18000000.0,3,Apartment,7
Kothanur,1462.0,3.0,7100000.0,3,Apartment,7
Marathahalli,607.0,1.0,3500000.0,1,Apartment,8
Kammasandra,930.0,2.0,2500000.0,2,Apartment,7
Varthur,4500.0,5.0,30000000.0,4,Villa,9
Malleshwaram,2600.0,3.0,23700000.0,3,Apartment,8
JP Nagar,3000.0,4.0,14000000.0,4,Villa,9
Electronic City Phase II,1418.0,3.0,5247000.0,3,Apartment,6
other,4200.0,1.0,16000000.0,2,Apartment,6
EPIP Zone,1125.0,2.0,6500000.0,2,Apartment,5
CV Raman Nagar,1825.0,3.0,12600000.0,3,Apartment,7
Whitefield,1320.0,2.0,7950000.0,2,Apartment,9
JP Nagar,3000.0,4.0,14000000.0,4,Villa,8
HAL 2nd Stage,1490.0,2.0,30000000.0,3,Apartment,7
other,1650.0,3.0,30000000.0,4,Apartment,6
Whitefield,750.0,2.0,5270000.0,2,Apartment,8
Yelahanka,1400.0,2.0,8054000.000000001,3,Apartment,8
other,4104.0,4.0,36000000.0,4,Villa,7
Rajaji Nagar,5000.0,4.0,37500000.0,4,Villa,9
Mahadevpura,3295.0,4.0,26000000.0,5,Villa,9
Whitefield,1200.0,3.0,6196000.0,3,Apartment,6
Poorna Pragna Layout,965.0,2.0,4800000.0,2,Apartment,5
Gottigere,812.0,1.0,2600000.0,1,Apartment,8
KR Puram,1100.0,2.0,4300000.0,2,Apartment,6
Whitefield,1180.0,2.0,4100000.0,2,Apartment,5
HSR Layout,1145.0,2.0,4800000.0,2,Apartment,8
Haralur Road,1027.0,2.0,4400000.0,2,Apartment,5
other,1215.0,2.0,4985000.0,2,Apartment,7
Hegde Nagar,1200.0,2.0,7500000.0,2,Apartment,8
Kenchenahalli,1015.0,2.0,5800000.0,2,Apartment,9
Kaggalipura,2400.0,3.0,16500000.0,3,Apartment,9
Whitefield,3000.0,4.0,30600000.0,4,Villa,8
7th Phase JP Nagar,3300.0,4.0,16000000.0,3,Apartment,7
other,1076.0,2.0,5200000.0,2,Apartment,9
JP Nagar,1300.0,2.0,10900000.0,2,Apartment,5
Hebbal Kempapura,1300.0,2.0,10200000.0,2,Apartment,6
Hosa Road,1512.0,3.0,12300000.0,3,Apartment,8
Bhoganhalli,1053.4,3.0,8891000.0,3,Apartment,5
Yeshwanthpur,605.0,1.0,4174499.9999999995,1,Apartment,5
Hormavu,1153.0,2.0,6500000.0,2,Apartment,8
other,2080.0,2.0,15000000.0,2,Apartment,6
Hulimavu,1255.0,2.0,6900000.0,2,Apartment,5
Marathahalli,1583.0,3.0,10900000.0,3,Apartment,8
other,1505.0,2.0,9000000.0,2,Apartment,9
Kathriguppe,1365.0,2.0,7508000.0,3,Apartment,9
other,1200.0,3.0,9575000.0,3,Apartment,5
other,1810.0,4.0,14800000.0,3,Apartment,9
Magadi Road,440.0,1.0,3500000.0,1,Apartment,8
Subramanyapura,975.0,2.0,6300000.0,2,Apartment,8
other,1250.0,2.0,3900000.0,2,Apartment,8
other,1530.0,2.0,9700000.0,3,Apartment,9
Kereguddadahalli,1300.0,2.0,3900000.0,3,Apartment,6
Channasandra,1115.0,2.0,4000000.0,2,Apartment,7
Sarjapur  Road,1308.0,2.0,8300000.0,2,Apartment,6
Parappana Agrahara,1194.0,2.0,4700000.0,2,Apartment,5
Uttarahalli,1490.0,2.0,5960000.0,3,Apartment,8
Bannerghatta Road,10000.0,4.0,45000000.0,4,Villa,8
Sarjapur  Road,1592.0,3.0,9100000.0,3,Apartment,6
Rajaji Nagar,1222.0,2.0,11200000.0,2,Apartment,9
Raja Rajeshwari Nagar,1267.0,2.0,4285000.0,2,Apartment,5
Balagere,656.0,1.0,5300000.0,1,Apartment,8
Dodda Nekkundi,3400.0,4.0,53000000.0,4,Villa,7
Garudachar Palya,4500.0,5.0,40000000.0,4,Villa,9
Chandapura,1200.0,1.0,3600000.0,2,Apartment,7
Thanisandra,1698.0,3.0,10200000.0,3,Apartment,5
other,1500.0,3.0,7000000.0,3,Apartment,5
other,2000.0,5.0,8000000.0,4,Apartment,6
Electronic City,1152.0,2.0,6575000.0,2,Apartment,8
Raja Rajeshwari Nagar,550.0,1.0,2100000.0,1,Apartment,5
Pattandur Agrahara,900.0,2.0,4200000.0,2,Apartment,5
other,1410.0,2.0,4512000.0,3,Apartment,9
Akshaya Nagar,1419.0,2.0,7300000.0,3,Apartment,8
Amruthahalli,1200.0,2.0,5500000.0,2,Apartment,7
AECS Layout,1800.0,3.0,6500000.0,3,Apartment,8
Gottigere,990.0,2.0,4000000.0,2,Apartment,7
Sarjapur  Road,1016.0,2.0,4500000.0,2,Apartment,6
Bannerghatta Road,1100.0,2.0,3900000.0,2,Apartment,8
Whitefield,1095.0,2.0,3500000.0,2,Apartment,9
other,2000.0,3.0,8500000.0,3,Apartment,8
Budigere,1444.0,2.0,7000000.0,2,Apartment,9
Whitefield,1415.0,2.0,6700000.0,2,Apartment,5
other,1500.0,2.0,13000000.0,3,Apartment,9
other,1600.0,3.0,7200000.0,3,Apartment,8
Whitefield,1105.0,2.0,4136000.0,2,Apartment,7
Electronic City,1225.0,3.0,4503000.0,3,Apartment,9
Frazer Town,2560.0,3.0,26500000.0,3,Apartment,7
Kanakpura Road,1080.0,2.0,3779999.9999999995,2,Apartment,6
Dasarahalli,2400.0,3.0,15000000.0,7,Villa,8
Talaghattapura,1856.0,3.0,13500000.0,3,Apartment,8
Haralur Road,1464.0,3.0,5600000.0,3,Apartment,6
other,2100.0,6.0,7100000.0,6,Apartment,6
Sarjapur  Road,1150.0,2.0,7700000.0,2,Apartment,5
5th Phase JP Nagar,1485.0,2.0,6700000.0,3,Apartment,7
other,2500.0,3.0,7500000.0,3,Apartment,5
Whitefield,1200.0,2.0,4500000.0,2,Apartment,6
Hennur Road,1036.0,2.0,5946000.0,2,Apartment,5
Whitefield,3445.0,5.0,27000000.0,4,Villa,7
other,1400.0,2.0,8000000.0,2,Apartment,6
Bommanahalli,1110.0,2.0,3300000.0,2,Apartment,7
Kodichikkanahalli,1150.0,2.0,4800000.0,2,Apartment,6
Kenchenahalli,715.0,1.0,4500000.0,1,Apartment,5
Magadi Road,1200.0,4.0,13000000.0,4,Apartment,9
Jakkur,2283.0,4.0,13000000.0,4,Villa,7
Hormavu,1453.0,2.0,4358000.0,3,Apartment,5
Nagarbhavi,1400.0,2.0,8500000.0,3,Apartment,6
Padmanabhanagar,1400.0,3.0,6500000.0,3,Apartment,6
Whitefield,1700.0,3.0,14000000.0,3,Apartment,7
Kanakpura Road,1591.0,3.0,12000000.0,3,Apartment,5
Nagarbhavi,1515.0,2.0,7900000.0,3,Apartment,7
Marathahalli,2500.0,3.0,20000000.0,5,Villa,7
Chandapura,975.0,2.0,2486000.0,2,Apartment,6
Yeshwanthpur,1382.0,2.0,7618000.000000001,3,Apartment,6
other,1533.0,3.0,15000000.0,3,Apartment,8
Cunningham Road,3815.0,3.0,76300000.0,3,Apartment,9
other,1100.0,2.0,3800000.0,2,Apartment,8
Banashankari Stage II,1500.0,2.0,12000000.0,3,Apartment,5
Yelahanka,1391.0,2.0,6450000.0,3,Apartment,7
Begur Road,1160.0,2.0,4292000.0,2,Apartment,5
Chandapura,620.0,1.0,2700000.0,1,Apartment,6
other,2400.0,9.0,35000000.0,8,Villa,8
Whitefield,4827.0,4.0,40000000.0,4,Villa,7
Kanakpura Road,1482.0,3.0,6098000.0,3,Apartment,9
Whitefield,1405.0,2.0,8450000.0,2,Apartment,6
Gunjur,1190.0,2.0,4000000.0,2,Apartment,5
Harlur,1174.0,2.0,7800000.0,2,Apartment,7
Seegehalli,1155.0,2.0,7200000.0,2,Apartment,8
Thanisandra,1411.0,3.0,9304000.0,3,Apartment,6
other,745.0,2.0,5000000.0,2,Apartment,5
Kereguddadahalli,1000.0,2.0,3000000.0,2,Apartment,9
Jigani,923.0,2.0,5000000.0,2,Apartment,6
Yeshwanthpur,1000.0,2.0,3200000.0,2,Apartment,9
Battarahalli,1276.0,2.0,4500000.0,2,Apartment,8
other,1460.0,3.0,7000000.0,3,Apartment,5
other,1355.0,2.0,9500000.0,2,Apartment,7
other,833.0,1.0,4900000.0,1,Apartment,5
other,1750.0,5.0,45000000.0,5,Apartment,5
Ramamurthy Nagar,1200.0,2.0,4800000.0,2,Apartment,8
Yeshwanthpur,669.0,1.0,3685000.0,1,Apartment,6
7th Phase JP Nagar,2200.0,4.0,10500000.0,3,Apartment,7
Koramangala,1594.0,3.0,12500000.0,3,Apartment,6
Kothanur,1790.0,3.0,10500000.0,3,Apartment,9
NGR Layout,1020.0,2.0,4500000.0,2,Apartment,6
other,3250.0,5.0,85000000.0,4,Villa,9
other,1037.0,2.0,3628000.0,2,Apartment,9
Whitefield,1345.0,2.0,5700000.0,3,Apartment,6
Kodichikkanahalli,1070.0,2.0,4300000.0,2,Apartment,5
other,3000.0,5.0,27000000.0,4,Villa,7
Yeshwanthpur,1385.0,2.0,7618000.000000001,3,Apartment,6
Kanakpura Road,1207.0,2.0,7990000.000000001,2,Apartment,5
Varthur,1140.0,2.0,5550000.0,2,Apartment,7
other,1220.0,2.0,6800000.0,2,Apartment,5
other,3811.0,3.0,47500000.0,4,Villa,8
Iblur Village,3596.0,5.0,25200000.0,4,Villa,7
Sarjapur  Road,1965.0,3.0,12000000.0,3,Apartment,8
Koramangala,1760.0,2.0,11500000.0,3,Apartment,6
Haralur Road,1225.0,2.0,7000000.0,2,Apartment,6
Marathahalli,1075.0,2.0,5243000.0,2,Apartment,9
Panathur,1000.0,2.0,6800000.0,2,Apartment,8
Hennur Road,1891.0,3.0,10900000.0,3,Apartment,8
Yelahanka,1322.0,2.0,8600000.0,2,Apartment,8
other,1095.0,3.0,21500000.0,3,Apartment,8
Bellandur,3600.0,4.0,26000000.0,4,Villa,8
AECS Layout,1045.0,2.0,3658000.0,2,Apartment,6
other,1545.0,3.0,8500000.0,3,Apartment,6
Thanisandra,1996.0,3.0,13500000.0,3,Apartment,8
Brookefield,1125.0,2.0,7000000.0,2,Apartment,7
Mysore Road,1560.0,3.0,11500000.0,3,Apartment,5
BEML Layout,2000.0,2.0,8500000.0,3,Apartment,6
Murugeshpalya,3100.0,4.0,31000000.0,4,Villa,7
other,780.0,2.0,3500000.0,2,Apartment,5
other,1350.0,2.0,11000000.0,2,Apartment,9
Sarjapur  Road,2275.0,4.0,18000000.0,3,Apartment,5
other,1350.0,2.0,4100000.0,2,Apartment,6
Haralur Road,1464.0,3.0,5600000.0,3,Apartment,9
Kanakpura Road,1570.0,3.0,6450000.0,3,Apartment,5
Dasanapura,708.0,1.0,2832000.0,1,Apartment,8
Sarjapur  Road,1680.0,3.0,16000000.0,3,Apartment,7
Hoodi,1400.0,2.0,8200000.0,2,Apartment,5
Bellandur,1310.0,2.0,7200000.0,2,Apartment,7
BTM Layout,3300.0,6.0,16500000.0,6,Villa,7
Electronics City Phase 1,1175.0,2.0,5700000.0,2,Apartment,7
Chikkalasandra,1428.0,2.0,8000000.0,3,Apartment,5
Whitefield,3252.0,4.0,28000000.0,4,Villa,9
Haralur Road,1194.0,2.0,4600000.0,2,Apartment,7
8th Phase JP Nagar,1080.0,2.0,3500000.0,2,Apartment,7
other,1200.0,2.0,6800000.0,3,Apartment,9
Whitefield,1200.0,2.0,4500000.0,2,Apartment,9
Bommasandra Industrial Area,1320.0,2.0,3813000.0000000005,3,Apartment,5
Badavala Nagar,1842.0,3.0,11500000.0,3,Apartment,9
Sector 2 HSR Layout,1146.0,2.0,5500000.0,2,Apartment,7
Rachenahalli,440.0,1.0,2800000.0,1,Apartment,8
Sahakara Nagar,1048.0,2.0,5000000.0,2,Apartment,6
Thanisandra,1801.0,3.0,11500000.0,3,Apartment,9
Hennur Road,1232.0,2.0,6961000.0,2,Apartment,5
Whitefield,1150.0,2.0,9000000.0,2,Apartment,8
Talaghattapura,1868.0,3.0,12000000.0,3,Apartment,9
Begur,1445.0,2.0,4710000.0,3,Apartment,8
Hebbal Kempapura,1466.0,2.0,14000000.0,3,Apartment,8
Harlur,1730.0,3.0,10000000.0,3,Apartment,9
JP Nagar,3860.0,3.0,40200000.0,3,Apartment,9
Somasundara Palya,1185.0,2.0,7000000.0,2,Apartment,9
Yeshwanthpur,3027.0,4.0,26000000.0,3,Apartment,5
Whitefield,2400.0,4.0,14700000.0,4,Villa,7
Kaval Byrasandra,1185.0,2.0,4900000.0,2,Apartment,7
other,1150.0,2.0,4900000.0,2,Apartment,6
other,2000.0,4.0,18000000.0,5,Apartment,6
Pai Layout,1075.0,2.0,3500000.0,2,Apartment,8
Hebbal,1760.0,3.0,12300000.0,3,Apartment,7
Banashankari,1600.0,2.0,6398000.0,2,Apartment,8
Haralur Road,1000.0,2.0,7800000.0,2,Apartment,5
7th Phase JP Nagar,1215.0,2.0,9000000.0,2,Apartment,6
EPIP Zone,1734.0,3.0,12500000.0,3,Apartment,6
Akshaya Nagar,1280.0,2.0,6000000.0,2,Apartment,5
Rachenahalli,1113.0,2.0,5500000.0,2,Apartment,6
Horamavu Banaswadi,1272.0,2.0,4800000.0,2,Apartment,8
Kereguddadahalli,1240.0,3.0,4100000.0,3,Apartment,7
Yelahanka,1100.0,2.0,7000000.0,2,Apartment,9
Ambalipura,896.0,2.0,3013000.0,2,Apartment,7
Rachenahalli,3657.0,5.0,22000000.0,4,Villa,8
BTM 2nd Stage,1200.0,2.0,3500000.0,2,Apartment,6
Ramagondanahalli,2800.0,4.0,15500000.0,4,Villa,9
Hebbal,2790.0,4.0,19800000.0,4,Villa,7
Ambalipura,3500.0,3.0,19800000.0,3,Apartment,7
Ramamurthy Nagar,3600.0,3.0,15000000.0,3,Apartment,9
Sarjapur,1500.0,2.0,3000000.0,2,Apartment,9
other,1096.0,2.0,4800000.0,2,Apartment,7
other,1094.0,2.0,4400000.0,2,Apartment,9
other,1100.0,2.0,4900000.0,2,Apartment,9
Iblur Village,2987.5,5.0,19100000.0,4,Villa,9
Nagarbhavi,1145.0,2.0,4000000.0,2,Apartment,6
Rachenahalli,1550.0,3.0,7450000.0,3,Apartment,7
Seegehalli,1830.0,4.0,8200000.0,3,Apartment,7
Hoodi,1746.0,3.0,8495000.0,3,Apartment,7
other,1280.0,4.0,11500000.0,4,Apartment,5
Kengeri,918.0,2.0,2754000.0,2,Apartment,9
Chandapura,645.0,1.0,1645000.0,1,Apartment,6
Banashankari Stage III,1305.0,2.0,6000000.0,3,Apartment,5
Thigalarapalya,1207.0,2.0,6200000.0,2,Apartment,7
Thanisandra,1678.0,3.0,12500000.0,3,Apartment,7
Kaggalipura,950.0,2.0,5000000.0,2,Apartment,8
Electronic City,1070.0,2.0,5500000.0,2,Apartment,8
Ardendale,1732.46,3.0,9200000.0,3,Apartment,6
Attibele,1639.0,2.0,4097999.9999999995,3,Apartment,5
Marathahalli,1360.0,2.0,10300000.0,2,Apartment,8
Malleshpalya,2592.0,4.0,25000000.0,4,Villa,7
other,4470.0,3.0,70000000.0,3,Apartment,6
Lakshminarayana Pura,1656.0,3.0,15000000.0,3,Apartment,9
Sarjapur  Road,985.0,2.0,4900000.0,2,Apartment,9
Dodda Nekkundi,1999.0,3.0,13500000.0,3,Apartment,7
7th Phase JP Nagar,1050.0,2.0,7500000.0,2,Apartment,9
